Rider,Number,Bike,"Leogang - 2024 Class","Leogang - 2024 Cost","Leogang - 2024 Status","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Gregor Brandauer",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guillermo Tovar Gallego",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Hannes Lehmann",,,"Elite Men",28000,,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Molloy",,"Continental GT Factory Racing","Elite Men",32000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Hayden Stead",,,"Elite Men",27000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heather Wilson",,"Muc-Off Young Guns","Junior Women",80000,,"Junior Women",1,60,"Junior Women",1,60,,,,,,,,,,,,,,,,,,,,,,,,
"Henri Kiefer",,"Canyon CLLCTV Pirelli","Elite Men",38000,,"Elite Men",DNQ,0,"Elite Men",20,50,,,,,,,,,,,,,,,,"Junior Men",3,45,"Junior Men",4,40,"Junior Men",4,40
"Henry Kerr",,"Canyon CLLCTV Pirelli","Elite Men",29000,,"Elite Men",32,30,"Elite Men",27,36,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Sherry",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hudson Tarling",,"Raw Fusion Racing","Junior Men",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hugo Marini",,"Scott Downhill Factory","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Junior Men",10,22,,,,,,,"Junior Men",5,40,"Junior Men",6,30,,,,,,,"Junior Men",3,45
"Ian Guionnet",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ignacio Garcia",,"Muc-Off Young Guns","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Igor Franek",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Macleod",,"Outlaw United","Junior Men",14000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Piercy",,"Commencal Les Orres","Elite Men",29000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,"Elite Men",18,54,,,,,,,,,,,,
"Jack Zenoni",,,"Junior Men",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson Connelly",,"Team High Country","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson Frew",,,"Elite Men",24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacob Dickson",,"MS Intense Racing","Elite Men",32000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",20,50,,,,,,,,,,,,,,,,,,,,,
"Jake Polito",,"Outlaw United","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jakob Jewett",,"Pivot Factory Racing","Elite Men",58000,,"Elite Men",17,56,"Elite Men",DNQ,0,,,,"Elite Men",12,68,,,,,,,,,,,,,,,,,,
"James Macdermid",,"The Alliance","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jamie Edmondson",,"BNC Racing","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jan Pajak",,,"Elite Men",25000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janis Lehmann",,"Backyard Racing Factory Team","Elite Men",26000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaxon Blake",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jed Stanton",,"Raw Fusion Racing","Elite Men",13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jenna Hastings",,"Pivot Factory Racing","Elite Women",38000,,"Elite Women",DNQ,0,,,,"Elite Women",6,90,,,,,,,"Elite Women",10,50,,,,,,,,,,,,
"Jess Blewitt",,"Cube Factory Racing","Elite Women",175000,,"Elite Women",4,150,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,"Elite Women",3,180,"Elite Women",9,60,,,
"Jobe Gentle",,"Team High Country","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Breeden",,"Intense Factory Racing","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Johan Garcin",,,"Elite Men",36000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jolanda Kiener",,,"Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jon Mozell",,"We Are One Momentum Project","Junior Men",22000,,"Junior Men",DNQ,0,"Junior Men",13,16,,,,,,,"Junior Men",2,50,,,,,,,,,,,,,,,
"Jordan Williams",,"Specialized Gravity","Elite Men",62000,,"Elite Men",16,58,"Elite Men",12,68,,,,"Elite Men",6,125,,,,"Elite Men",17,56,,,,,,,"Elite Men",13,65,"Elite Men",1,250
"Jose Pablo Paredes Moreno",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Lancett-Edwards",,,"Elite Men",14000,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Joshua Arcus",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Juan Antonio Martinez Revolorio",,,"Elite Men",11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jules Troillet",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Koch",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julien Markewitz",,"Outlaw United","Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Junior Paroz",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Gagne",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kacper Sidlo",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Kael Foale",,"Raw Fusion Racing","Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,"Junior Men",6,30,,,,,,,,,,,,,,,
"Kalani Muirhead",,,"Elite Women",29000,,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kale Cushman",,"The Gravity Collective","Junior Women",38000,,"Junior Women",5,35,"Junior Women",8,15,"Junior Women",6,30,"Junior Women",5,35,,,,,,,,,,,,,,,,,,
"Kerstin Sallegger",,,"Elite Women",32000,,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kilian Buhl",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kimi Viardot",,"K Bike","Elite Men",29000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Junior Men",3,45,,,,"Junior Men",5,35,,,,,,,"Junior Men",6,30,,,,"Junior Men",6,30
"Kirk McDowall",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Krystof Hust",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kye A'Hern",,"Kenda NS Bikes UR Team","Elite Men",38000,,"Elite Men",DNQ,0,"Elite Men",19,52,,,,,,,"Elite Men",20,50,"Elite Men",20,50,,,,,,,,,,,,
"Lachlan Stevens-Mcnab",,"Union - Forged by Steel City Media","Elite Men",80000,,"Elite Men",33,30,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Laurie Greenland",,"Santa Cruz Syndicate","Elite Men",95000,,"Elite Men",25,40,"Elite Men",N/A,0,,,,,,,,,,"Elite Men",3,180,"Elite Men",12,68,,,,"Elite Men",9,80,"Elite Men",4,160
"Lea Stornebel",,,"Elite Women",30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lennox Meschede",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leo Abella",,"Commencal Les Orres","Elite Men",38000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,"Junior Men",4,40,"Junior Men",6,30,"Junior Men",9,24,"Junior Men",5,35,"Junior Men",1,60,,,
"Leo Brabeck-Letmathe",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leo Grisel",,,"Elite Men",12000,,,,,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis Carr",,"BNC Racing","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lino Lehmann",,"Gamux Factory Racing","Elite Men",28000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lino Neumann",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lisa Baumann",,"Commencal Les Orres","Elite Women",51000,,"Elite Women",DNQ,0,"Elite Women",N/A,0,,,,,,,"Elite Women",9,60,"Elite Women",5,120,"Elite Women",10,50,"Elite Women",8,70,,,,,,
"Lisa Bouladou",,,"Elite Women",78000,,"Elite Women",N/A,0,"Elite Women",DNQ,0,"Junior Women",3,45,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",3,45,"Junior Women",3,45,"Junior Women",1,60,"Junior Women",3,45
"Loic Bruni",,"Specialized Gravity","Elite Men",210000,,"Elite Men",2,210,"Elite Men",1,250,"Elite Men",3,180,,,,"Elite Men",5,140,"Elite Men",1,250,,,,"Elite Men",14,63,"Elite Men",2,210,"Elite Men",3,180
"Loic Martin",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Loick Hudon",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lorenzo Mascherini",,"The Gravity Cartel-Rogue Racing","Junior Men",18000,,"Junior Men",DNQ,0,"Junior Men",18,8,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Revelli",,,"Elite Men",34000,,"Elite Men",DNQ,0,"Elite Men",DNF,0,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Schapper",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Vergier",,"Trek Factory Racing Gravity","Elite Men",190000,,"Elite Men",3,180,"Elite Men",8,95,"Elite Men",10,75,"Elite Men",4,160,"Elite Men",3,180,"Elite Men",14,63,,,,"Elite Men",5,140,"Elite Men",7,110,"Elite Men",2,210
"Louise Ferguson",,"Intense Factory Racing","Elite Women",68000,,"Elite Women",9,60,"Elite Women",N/A,0,,,,,,,,,,,,,"Elite Women",7,80,,,,,,,,,
"Luca Catalano",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luca Shaw",,"Canyon Cllctv Factory Team","Elite Men",165000,,"Elite Men",6,125,"Elite Men",5,140,"Elite Men",7,110,"Elite Men",18,54,"Elite Men",8,95,,,,"Elite Men",10,75,"Elite Men",13,65,"Elite Men",5,140,"Elite Men",11,71
"Luca Thurlow",,"Triple Five Racing","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Junior Men",4,40,"Junior Men",8,26,,,,,,,,,,,,,,,,,,
"Lucas Arrudi Mimbrera",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Daines",,,"Junior Men",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Dedora",,"The Gravity Collective","Junior Men",29000,,"Junior Men",9,24,"Junior Men",17,9,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Lagneau",,"Canyon CLLCTV Pirelli","Junior Men",27000,,"Junior Men",DNQ,0,"Junior Men",12,18,,,,,,,,,,,,,,,,"Junior Men",4,40,,,,"Junior Men",10,22
"Luka Berginc",,,"Elite Men",12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lukas Lammlein",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luke Meier-Smith",,"Giant Factory Off-Road Team","Elite Men",44000,,"Elite Men",27,36,"Elite Men",DSQ,0,,,,,,,,,,,,,"Elite Men",8,95,,,,,,,,,
"Luke Wayman",,"The Gravity Cartel-Rogue Racing","Junior Men",54000,,"Junior Men",6,30,"Junior Men",2,50,"Junior Men",9,24,"Junior Men",10,22,,,,,,,"Junior Men",10,22,,,,,,,,,
"Luke Williamson",,"Triple Five Racing","Elite Men",34000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mae Rogier",,,"Junior Men",16000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mael Gironde",,,"Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Maj Babaclc",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malo Rochet",,"Goodman Santacruz","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Marco Comerio",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marco Fender",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marco Lamaris",,"Propain Positive","Junior Men",23000,,"Junior Men",20,6,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Marine Cabirou",,"Scott Downhill Factory","Elite Women",210000,,"Elite Women",1,250,"Elite Women",6,90,"Elite Women",9,60,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",3,180,"Elite Women",4,150,"Elite Women",4,150,"Elite Women",6,90,"Elite Women",5,120
"Marius Perraudin",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Wallace",,"We Are One Momentum Project","Elite Men",42000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,"Elite Men",16,58,,,,"Elite Men",13,65,,,,,,,,,
"Martin Horak",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathilde Bernard",,,"Elite Women",30000,,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matilda Melton",,"Transition Factory Racing","Junior Women",60000,,"Junior Women",6,30,"Junior Women",4,40,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Walker",,"Madison Saracen Factory Team","Elite Men",77000,,"Elite Men",N/A,0,"Elite Men",10,75,,,,"Elite Men",9,80,"Elite Men",17,56,,,,,,,"Elite Men",17,56,"Elite Men",12,68,,,
"Matteo Iniguez",,"Commencal ICStudio","Elite Men",30000,,"Elite Men",DNS,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,"Elite Men",18,54,,,,,,
"Mattia Bianco",,"The Gravity Cartel-Rogue Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Max Alran",,"Commencal/Muc-Off by Riding Addiction","Junior Men",45000,,"Junior Men",24,2,"Junior Men",4,40,,,,,,,,,,,,,,,,,,,,,,,,
"Max Becker",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Max Caro Labbe",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Max Hartenstern",,"Cube Factory Racing","Elite Men",52000,,"Elite Men",19,52,"Elite Men",N/A,0,,,,"Elite Men",14,63,"Elite Men",14,63,"Elite Men",11,71,"Elite Men",19,52,,,,"Elite Men",15,60,,,
"Max Heidegger",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxima Jaax",,,"Junior Women",25000,,"Junior Women",7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maximilian Heck",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McLure Bailey",,,"Junior Men",11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Delesalle",,"Gwin Racing","Junior Men",18000,,"Junior Men",DNQ,0,"Junior Men",21,5,,,,,,,,,,,,,,,,,,,,,,,,
"Michal Hlobil",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mika Rodon Del Amo",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mikayla Parton",,"BNC Racing","Elite Women",72000,,"Elite Women",N/A,0,"Elite Women",9,60,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Huter",,"Gamux Factory Racing","Junior Men",39000,,"Junior Men",25,1,"Junior Men",7,28,,,,,,,"Junior Men",7,28,,,,,,,"Junior Men",7,28,"Junior Men",9,24,"Junior Men",9,24
"Mikolaj Gawronek",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mille Johnset",,"Canyon Cllctv Factory Team","Elite Women",64000,,"Elite Women",DNQ,0,"Elite Women",11,50,"Elite Women",8,70,"Elite Women",6,90,"Elite Women",4,150,"Elite Women",9,60,"Elite Women",6,90,,,,,,,,,
"Minu Stoffers",,,"Junior Women",16000,,"Junior Women",8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miran Vauh",,"Dorval AM Commencal","Elite Men",36000,,"Elite Men",DNS,0,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Monika Hrastnik",,"Dorval AM Commencal","Elite Women",74000,,"Elite Women",N/A,0,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",7,80,"Elite Women",2,210,"Elite Women",6,90,,,,"Elite Women",6,90,"Elite Women",4,150,"Elite Women",8,70
"Morgan Williams",,"BNC Racing","Junior Men",21000,,"Junior Men",14,14,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mylann Falquet",,"Goodman Santacruz","Junior Men",45000,,"Junior Men",2,50,"Junior Men",24,2,"Junior Men",2,50,"Junior Men",3,45,"Junior Men",9,24,"Junior Men",8,26,"Junior Men",8,26,"Junior Men",10,22,,,,,,
