Rider,Number,Bike,"Les Gets - 2024 Class","Les Gets - 2024 Cost","Les Gets - 2024 Status","Val di Sole - 2024 Class","Val di Sole - 2024 Position","Val di Sole - 2024 Points","Leogang - 2024 Class","Leogang - 2024 Position","Leogang - 2024 Points","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Greg Williamson",,"Madison Saracen Factory Team","Elite Men",59000,,"Elite Men",15,60,"Elite Men",22,46,"Elite Men",7,110,"Elite Men",7,110,,,,,,,,,,,,,,,,,,,,,,,,
"Guillermo Tovar Gallego",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Hadley Coppard",,,"Junior Men",6000,,,,,,,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Molloy",,"Continental GT Factory Racing","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Hayden Stead",,,"Elite Men",27000,Out,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heather Wilson",,"Muc-Off Young Guns","Junior Women",44000,,"Junior Women",DNS,0,"Junior Women",3,45,"Junior Women",1,60,"Junior Women",1,60,,,,,,,,,,,,,,,,,,,,,,,,
"Henre Myburgh",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Kerr",,"Canyon CLLCTV Pirelli","Elite Men",29000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",32,30,"Elite Men",27,36,,,,,,,,,,,,,,,,,,,,,,,,
"Hudson Tarling",,"Raw Fusion Racing","Junior Men",9000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hugo Gouin",,,"Junior Men",15000,,"Junior Men",DNQ,0,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Hugo Marini",,"Scott Downhill Factory","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Junior Men",10,22,,,,,,,"Junior Men",5,40,"Junior Men",6,30,,,,,,,"Junior Men",3,45
"Ian Guionnet",,,"Elite Men",28000,,"Elite Men",DNQ,0,"Elite Men",DSQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ignacio Garcia",,"Muc-Off Young Guns","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Isaac Batty",,,"Junior Men",7000,,"Junior Men",DNQ,0,,,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Macleod",,"Outlaw United","Junior Men",15000,,"Junior Men",15,12,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Piercy",,"Commencal Les Orres","Elite Men",29000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,"Elite Men",18,54,,,,,,,,,,,,
"Jack Zenoni",,,"Junior Men",9000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson Connelly",,"Team High Country","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jacob Dickson",,"MS Intense Racing","Elite Men",32000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",20,50,,,,,,,,,,,,,,,,,,,,,
"Jake Polito",,"Outlaw United","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNS,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jakob Jewett",,"Pivot Factory Racing","Elite Men",59000,,"Elite Men",13,65,"Elite Men",23,44,"Elite Men",17,56,"Elite Men",DNQ,0,,,,"Elite Men",12,68,,,,,,,,,,,,,,,,,,
"James Macdermid",,"The Alliance","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jamie Edmondson",,"BNC Racing","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Janis Lehmann",,"Backyard Racing Factory Team","Elite Men",26000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jasmine Forgue",,,"Junior Women",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jed Stanton",,"Raw Fusion Racing","Elite Men",13000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jenna Hastings",,"Pivot Factory Racing","Elite Women",38000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,"Elite Women",6,90,,,,,,,"Elite Women",10,50,,,,,,,,,,,,
"Jess Blewitt",,"Cube Factory Racing","Elite Women",170000,,"Elite Women",DNS,0,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,"Elite Women",3,180,"Elite Women",9,60,,,
"Jesse Schulte",,,"Elite Men",10000,,,,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jobe Gentle",,"Team High Country","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Breeden",,"Intense Factory Racing","Elite Men",39000,,"Elite Men",23,44,"Elite Men",20,50,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Millington",,,"Junior Men",9000,,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johan Garcin",,,"Elite Men",36000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jolanda Kiener",,,"Elite Women",50000,Out,,,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Jon Mozell",,"We Are One Momentum Project","Junior Men",40000,,"Junior Men",4,40,"Junior Men",12,18,"Junior Men",DNQ,0,"Junior Men",13,16,,,,,,,"Junior Men",2,50,,,,,,,,,,,,,,,
"Joonas Jussila",,,"Junior Men",12000,,,,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan Williams",,"Specialized Gravity","Elite Men",70000,Out,"Elite Men",DNS,0,"Elite Men",17,56,"Elite Men",16,58,"Elite Men",12,68,,,,"Elite Men",6,125,,,,"Elite Men",17,56,,,,,,,"Elite Men",13,65,"Elite Men",1,250
"Jorge Lorenzo Guarello Alonso",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Turner",,,"Elite Men",10000,,,,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Joshua West",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juan Antonio Martinez Revolorio",,,"Elite Men",11000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jules Delhoume",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Steiner",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Julie Duvert",,,"Elite Women",20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julien Markewitz",,"Outlaw United","Elite Men",10000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Junior Paroz",,,"Elite Men",10000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justine Henry",,,"Elite Women",20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kacper Sidlo",,,"Junior Men",15000,,"Junior Men",DNS,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Kael Foale",,"Raw Fusion Racing","Elite Men",28000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,"Junior Men",6,30,,,,,,,,,,,,,,,
"Kalani Muirhead",,,"Elite Women",29000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kale Cushman",,"The Gravity Collective","Junior Women",26000,,"Junior Women",5,35,"Junior Women",8,15,"Junior Women",5,35,"Junior Women",8,15,"Junior Women",6,30,"Junior Women",5,35,,,,,,,,,,,,,,,,,,
"Kei Nakai",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelian Vanreusel",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kilian Schnoeller",,,"Elite Men",10000,,"Elite Men",DNQ,0,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Kimi Viardot",,"K Bike","Elite Men",29000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Junior Men",3,45,,,,"Junior Men",5,35,,,,,,,"Junior Men",6,30,,,,"Junior Men",6,30
"Kira Zamora Novales",,,"Elite Women",20000,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirk McDowall",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Kye A'Hern",,"Kenda NS Bikes UR Team","Elite Men",40000,,"Elite Men",N/A,0,"Elite Men",25,40,"Elite Men",DNQ,0,"Elite Men",19,52,,,,,,,"Elite Men",20,50,"Elite Men",20,50,,,,,,,,,,,,
"Lachlan Stevens-Mcnab",,"Union - Forged by Steel City Media","Elite Men",115000,,"Elite Men",N/A,0,"Elite Men",3,180,"Elite Men",33,30,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lance Murray",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurie Greenland",,"Santa Cruz Syndicate","Elite Men",56000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",25,40,"Elite Men",N/A,0,,,,,,,,,,"Elite Men",3,180,"Elite Men",12,68,,,,"Elite Men",9,80,"Elite Men",4,160
"Lennox Meschede",,,"Junior Men",8000,Out,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leo Abella",,"Commencal Les Orres","Elite Men",38000,,,,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,"Junior Men",4,40,"Junior Men",6,30,"Junior Men",9,24,"Junior Men",5,35,"Junior Men",1,60,,,
"Leo Grisel",,,"Elite Men",12000,,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Leona Pierrini",,,"Elite Women",20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levio Staub",,,"Junior Men",6000,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis Carr",,"BNC Racing","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lino Lehmann",,"Gamux Factory Racing","Elite Men",28000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Lino Neumann",,,"Junior Men",12000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lisa Baumann",,"Commencal Les Orres","Elite Women",80000,,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",DNQ,0,"Elite Women",N/A,0,,,,,,,"Elite Women",9,60,"Elite Women",5,120,"Elite Women",10,50,"Elite Women",8,70,,,,,,
"Lisa Bouladou",,,"Elite Women",78000,,"Elite Women",11,50,"Elite Women",DNQ,0,"Elite Women",N/A,0,"Elite Women",DNQ,0,"Junior Women",3,45,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",3,45,"Junior Women",3,45,"Junior Women",1,60,"Junior Women",3,45
"Loic Bruni",,"Specialized Gravity","Elite Men",238000,,"Elite Men",5,140,"Elite Men",1,250,"Elite Men",2,210,"Elite Men",1,250,"Elite Men",3,180,,,,"Elite Men",5,140,"Elite Men",1,250,,,,"Elite Men",14,63,"Elite Men",2,210,"Elite Men",3,180
"Loic Martin",,,"Elite Men",30000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Michellod",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Revelli",,,"Elite Men",34000,,"Elite Men",DNQ,0,"Elite Men",28,34,"Elite Men",DNQ,0,"Elite Men",DNF,0,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Schapper",,,"Junior Men",12000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loris Vergier",,"Trek Factory Racing Gravity","Elite Men",202000,,"Elite Men",18,54,"Elite Men",19,52,"Elite Men",3,180,"Elite Men",8,95,"Elite Men",10,75,"Elite Men",4,160,"Elite Men",3,180,"Elite Men",14,63,,,,"Elite Men",5,140,"Elite Men",7,110,"Elite Men",2,210
"Louis Jolidon",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louise Ferguson",,"Intense Factory Racing","Elite Women",68000,,"Elite Women",N/A,0,"Elite Women",9,60,"Elite Women",9,60,"Elite Women",N/A,0,,,,,,,,,,,,,"Elite Women",7,80,,,,,,,,,
"Luca Shaw",,"Canyon Cllctv Factory Team","Elite Men",150000,,"Elite Men",9,80,"Elite Men",7,110,"Elite Men",6,125,"Elite Men",5,140,"Elite Men",7,110,"Elite Men",18,54,"Elite Men",8,95,,,,"Elite Men",10,75,"Elite Men",13,65,"Elite Men",5,140,"Elite Men",11,71
"Luca Thurlow",,"Triple Five Racing","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Junior Men",4,40,"Junior Men",8,26,,,,,,,,,,,,,,,,,,
"Lucas Arrudi Mimbrera",,,"Junior Men",8000,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Daines",,,"Junior Men",9000,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Dedora",,"The Gravity Collective","Junior Men",22000,,"Junior Men",DNQ,0,"Junior Men",6,30,"Junior Men",9,24,"Junior Men",17,9,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Gorinas",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Lagneau",,"Canyon CLLCTV Pirelli","Junior Men",21000,Out,"Junior Men",DNQ,0,"Junior Men",24,2,"Junior Men",DNQ,0,"Junior Men",12,18,,,,,,,,,,,,,,,,"Junior Men",4,40,,,,"Junior Men",10,22
"Luke Meier-Smith",,"Giant Factory Off-Road Team","Elite Men",44000,,"Elite Men",24,42,"Elite Men",DNQ,0,"Elite Men",27,36,"Elite Men",DSQ,0,,,,,,,,,,,,,"Elite Men",8,95,,,,,,,,,
"Luke Wayman",,"The Gravity Cartel-Rogue Racing","Junior Men",37000,,"Junior Men",5,35,"Junior Men",4,40,"Junior Men",6,30,"Junior Men",2,50,"Junior Men",9,24,"Junior Men",10,22,,,,,,,"Junior Men",10,22,,,,,,,,,
"Luke Williamson",,"Triple Five Racing","Elite Men",34000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mae Rogier",,,"Junior Men",16000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Malo Rochet",,"Goodman Santacruz","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Marco Lamaris",,"Propain Positive","Junior Men",19000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",20,6,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Marine Cabirou",,"Scott Downhill Factory","Elite Women",230000,,"Elite Women",2,210,"Elite Women",5,120,"Elite Women",1,250,"Elite Women",6,90,"Elite Women",9,60,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",3,180,"Elite Women",4,150,"Elite Women",4,150,"Elite Women",6,90,"Elite Women",5,120
"Marius Krahenbuhl",,,"Junior Men",15000,,,,,,,,"Junior Men",13,16,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Wallace",,"We Are One Momentum Project","Elite Men",42000,,"Elite Men",DNF,0,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,"Elite Men",16,58,,,,"Elite Men",13,65,,,,,,,,,
"Marta Perxachs I Ayats",,,"Junior Women",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathieu Balizet",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathilde Bernard",,,"Elite Women",30000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matilda Melton",,"Transition Factory Racing","Junior Women",34000,,"Junior Women",DNS,0,"Junior Women",6,30,"Junior Women",6,30,"Junior Women",4,40,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Walker",,"Madison Saracen Factory Team","Elite Men",58000,,"Elite Men",29,32,"Elite Men",16,58,"Elite Men",N/A,0,"Elite Men",10,75,,,,"Elite Men",9,80,"Elite Men",17,56,,,,,,,"Elite Men",17,56,"Elite Men",12,68,,,
"Matteo Iniguez",,"Commencal ICStudio","Elite Men",53000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNS,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,"Elite Men",18,54,,,,,,
"Matthew Walker",,"Pivot Factory Racing","Elite Men",20000,,"Elite Men",DNQ,0,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mattia Bianco",,"The Gravity Cartel-Rogue Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Matyas Hromadka",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Max Abrams",,,"Junior Men",7000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Max Alran",,"Commencal/Muc-Off by Riding Addiction","Junior Men",54000,,"Junior Men",1,60,"Junior Men",1,60,"Junior Men",24,2,"Junior Men",4,40,,,,,,,,,,,,,,,,,,,,,,,,
"Max Becker",,,"Junior Men",8000,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Max Hartenstern",,"Cube Factory Racing","Elite Men",59000,,"Elite Men",DNS,0,"Elite Men",DNS,0,"Elite Men",19,52,"Elite Men",N/A,0,,,,"Elite Men",14,63,"Elite Men",14,63,"Elite Men",11,71,"Elite Men",19,52,,,,"Elite Men",15,60,,,
"Max Van Zyl",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxima Jaax",,,"Junior Women",20000,Out,"Junior Women",8,15,"Junior Women",DNQ,0,"Junior Women",7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Delesalle",,"Gwin Racing","Junior Men",18000,,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",21,5,,,,,,,,,,,,,,,,,,,,,,,,
"Mick Hannah",,"Yeti / FOX Factory Race Team","Elite Men",26000,,,,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mikayla Parton",,"BNC Racing","Elite Women",72000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",N/A,0,"Elite Women",9,60,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Huter",,"Gamux Factory Racing","Junior Men",39000,,"Junior Men",18,8,"Junior Men",3,45,"Junior Men",25,1,"Junior Men",7,28,,,,,,,"Junior Men",7,28,,,,,,,"Junior Men",7,28,"Junior Men",9,24,"Junior Men",9,24
"Mikolaj Gawronek",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mille Johnset",,"Canyon Cllctv Factory Team","Elite Women",92000,,"Elite Women",N/A,0,"Elite Women",7,80,"Elite Women",DNQ,0,"Elite Women",11,50,"Elite Women",8,70,"Elite Women",6,90,"Elite Women",4,150,"Elite Women",9,60,"Elite Women",6,90,,,,,,,,,
"Miran Vauh",,"Dorval AM Commencal","Elite Men",36000,,"Elite Men",DNS,0,"Elite Men",DNS,0,"Elite Men",DNS,0,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Monika Hrastnik",,"Dorval AM Commencal","Elite Women",185000,,"Elite Women",3,180,"Elite Women",6,90,"Elite Women",N/A,0,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",7,80,"Elite Women",2,210,"Elite Women",6,90,,,,"Elite Women",6,90,"Elite Women",4,150,"Elite Women",8,70
"Morgan Williams",,"BNC Racing","Junior Men",21000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",14,14,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Mylann Falquet",,"Goodman Santacruz","Junior Men",48000,,"Junior Men",3,45,"Junior Men",5,35,"Junior Men",2,50,"Junior Men",24,2,"Junior Men",2,50,"Junior Men",3,45,"Junior Men",9,24,"Junior Men",8,26,"Junior Men",8,26,"Junior Men",10,22,,,,,,
"Myriam Nicole",,"Commencal/Muc-Off by Riding Addiction","Elite Women",210000,,"Elite Women",4,150,"Elite Women",3,180,"Elite Women",N/A,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Nathan Kitchen",,"The Gravity Collective","Elite Men",10000,,"Elite Men",DNS,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nathan Pontvianne",,"Goodman Santacruz","Elite Men",40000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",30,30,"Elite Men",25,40,"Junior Men",1,60,"Junior Men",6,30,"Junior Men",10,22,"Junior Men",2,50,"Junior Men",3,45,,,,,,,,,
"Neko Mulally",,"Frameworks Racing","Elite Men",26000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Nellie Aabech",,,"Junior Women",10000,,"Junior Women",DNQ,0,"Junior Women",DNS,0,,,,"Junior Women",9,10,,,,,,,,,,,,,,,,,,,,,,,,
"Niall Clerkin",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nico Lamm",,,"Elite Men",32000,,,,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
